material_code,description,unit_price,currency,uom
MAT-1001,Çelik Levha 2mm,145.50,TRY,KG
MAT-1002,Alüminyum Profil 40x40,89.75,TRY,M
MAT-1003,Bakır Kablo 3x2.5,62.00,TRY,M
MAT-1004,Vida M8x40 Galvaniz,1.85,TRY,EA
MAT-1005,Rulman 6204-2RS,34.20,TRY,EA
MAT-1006,Hidrolik Hortum 1/2,128.90,TRY,M
MAT-1007,Kontaktör 25A,410.00,TRY,EA
MAT-1008,PVC Boru 110mm,76.40,TRY,M
MAT-1009,Conta Seti NBR,22.50,TRY,SET
MAT-1010,Paslanmaz Cıvata M10,4.60,TRY,EA
MAT-1011,Elektrik Panosu 60x40,1250.00,TRY,EA
MAT-1012,Kaynak Teli 1.2mm,58.30,TRY,KG
MAT-1013,Sensör PNP M12,295.00,TRY,EA
MAT-1014,Yağ Filtresi HF-220,67.80,TRY,EA
MAT-1015,Kayış A-1200,41.25,TRY,EA
MAT-1016,Streç Film 500mm,185.00,TRY,ROLL
MAT-1017,Palet Euro 120x80,310.00,TRY,EA
MAT-1018,Etiket Termal 100x50,94.60,TRY,ROLL
