order_id,line_no,customer_id,material_code,quantity,unit_price,order_date,ship_to_city
SO-100001,1,C1013,MAT-1012,200,58.30,2026-07-25,Nevþehir
SO-100002,1,C1019,MAT-1014,100,67.80,26.07.2026,Diyarbakýr
SO-100003,1,C1019,MAT-1007,3,410.00,2026-07-04,Muðla
SO-100004,1,C1001,MAT-1015,12,41.25,2026-07-08,Nevþehir
SO-100004,2,C1001,MAT-1018,40,94.60,2026-07-08,Nevþehir
SO-100005,1,C1002,MAT-1005,2,34.20,23.07.2026,Çorum
SO-100005,2,C1002,MAT-1013,12,295.00,23.07.2026,Çorum
SO-100005,3,C1002,MAT-1003,10,62.00,23.07.2026,Çorum
SO-100006,1,C1002,MAT-1004,1,1.85,2026-07-02,Bursa
SO-100007,1,C1001,MAT-1011,8,1250.00,13.07.2026,Çorum
SO-100007,2,C1001,MAT-1001,2,145.50,13.07.2026,Çorum
SO-100007,3,C1001,MAT-1017,5,310.00,13.07.2026,Çorum
SO-100008,1,C1003,MAT-1001,200,145.50,2026-07-28,Nevþehir
SO-100009,1,C1015,MAT-1003,8,62.00,2026-07-30,Bursa
SO-100009,2,C1015,MAT-1007,12,410.00,2026-07-30,Bursa
SO-100009,3,C1015,MAT-1013,1,295.00,2026-07-30,Bursa
SO-100009,4,C1015,MAT-1014,8,67.80,2026-07-30,Bursa
SO-100010,1,C1009,MAT-1015,100,41.25,2026-07-28,Kütahya
SO-100010,2,C1009,MAT-1006,100,128.90,2026-07-28,Kütahya
SO-100010,3,C1009,MAT-1018,5,94.60,2026-07-28,Kütahya
SO-100011,1,C1003,MAT-1010,1,4.60,2026-07-27,Çorum
SO-100011,2,C1003,MAT-1003,8,62.00,2026-07-27,Çorum
SO-100012,1,C1008,MAT-1013,200,295.00,14.07.2026,Diyarbakýr
SO-100013,1,C1005,MAT-1001,50,145.50,24.07.2026,Diyarbakýr
SO-100013,2,C1005,MAT-1006,50,128.90,24.07.2026,Diyarbakýr
SO-100013,3,C1005,MAT-1017,100,310.00,24.07.2026,Diyarbakýr
SO-100014,1,C1004,MAT-1009,12,22.50,2026-07-20,Muðla
SO-100015,1,C1017,MAT-1016,40,185.00,2026-07-12,Ýstanbul
SO-100016,1,C1016,MAT-1005,3,34.20,05.07.2026,Ýzmir
SO-100016,2,C1016,MAT-1001,50,145.50,05.07.2026,Ýzmir
SO-100016,3,C1016,MAT-1010,10,4.60,05.07.2026,Ýzmir
SO-100016,4,C1016,MAT-1018,50,94.60,05.07.2026,Ýzmir
SO-100017,1,C1010,MAT-1002,150,89.75,2026-07-05,Bursa
SO-100018,1,C1015,MAT-1014,150,67.80,2026-07-06,Nevþehir
SO-100018,2,C1015,MAT-1009,8,22.50,2026-07-06,Nevþehir
SO-100019,1,C1020,MAT-1008,10,76.40,08.07.2026,Kýrþehir
SO-100019,2,C1020,MAT-1018,5,94.60,08.07.2026,Kýrþehir
SO-100019,3,C1020,MAT-1001,25,145.50,08.07.2026,Kýrþehir
SO-100020,1,C1009,MAT-1004,40,1.85,21.07.2026,Çorum
SO-100021,1,C1004,MAT-1009,50,22.50,2026-07-09,Diyarbakýr
SO-100021,2,C1004,MAT-1005,1,34.20,2026-07-09,Diyarbakýr
