Auftragsnummer;Position;Kundennummer;Materialnummer;Menge;Preis;Bestelldatum;Waehrung
DE-500001;1;C1011;MAT-1007;10;11,55;15.07.2026;EUR
DE-500002;1;C1009;MAT-1001;25;4,10;21.07.2026;EUR
DE-500003;1;C1011;MAT-1001;10;4,10;09.07.2026;EUR
DE-500003;2;C1011;MAT-1018;12,5;2,66;14.07.2026;EUR
DE-500003;3;C1011;MAT-1001;10;4,10;19.07.2026;EUR
DE-500004;1;C1002;MAT-1018;10;2,66;17.07.2026;EUR
DE-500004;2;C1002;MAT-1008;5;2,15;12.07.2026;EUR
DE-500005;1;C1001;MAT-1016;5;5,21;21.07.2026;EUR
DE-500005;2;C1001;MAT-1012;1.500;1,64;18.07.2026;EUR
DE-500005;3;C1001;MAT-1002;10;2,53;30.07.2026;EUR
DE-500006;1;C1018;MAT-1013;12,5;8,31;20.07.2026;EUR
DE-500007;1;C1018;MAT-1009;2;0,63;10.07.2026;EUR
DE-500007;2;C1018;MAT-1003;100;1,75;07.07.2026;EUR
DE-500007;3;C1018;MAT-1016;2;5,21;28.07.2026;EUR
DE-500008;1;C1019;MAT-1012;12,5;1,64;27.07.2026;EUR
DE-500008;2;C1019;MAT-1006;5;3,63;25.07.2026;EUR
DE-500009;1;C1020;MAT-1016;100;5,21;19.07.2026;EUR
DE-500009;2;C1020;MAT-1007;100;11,55;13.07.2026;EUR
DE-500010;1;C1011;MAT-1007;2;11,55;14.07.2026;EUR
DE-500010;2;C1011;MAT-1016;12,5;5,21;06.07.2026;EUR
DE-500010;3;C1011;MAT-1017;2;8,73;16.07.2026;EUR
DE-500011;1;C1017;MAT-1014;10;1,91;20.07.2026;EUR
DE-500012;1;C1003;MAT-1017;2;8,73;15.07.2026;EUR
DE-500012;2;C1003;MAT-1002;25;2,53;07.07.2026;EUR
DE-500013;1;C1014;MAT-1009;1.500;0,63;27.07.2026;EUR
DE-500013;2;C1014;MAT-1010;1.500;0,13;14.07.2026;EUR
DE-500014;1;C1019;MAT-1017;12,5;8,73;11.07.2026;EUR
DE-500014;2;C1019;MAT-1007;2;11,55;26.07.2026;EUR
DE-500014;3;C1019;MAT-1003;12,5;1,75;12.07.2026;EUR
DE-500015;1;C1003;MAT-1004;1.500;0,05;26.07.2026;EUR
DE-500015;2;C1003;MAT-1006;1.500;3,63;05.07.2026;EUR
DE-500015;3;C1003;MAT-1003;10;1,75;03.07.2026;EUR
DE-500016;1;C1013;MAT-1005;12,5;0,96;17.07.2026;EUR
DE-500017;1;C1014;MAT-1002;2;2,53;15.07.2026;EUR
DE-500018;1;C1008;MAT-1009;5;0,63;19.07.2026;EUR
DE-500018;2;C1008;MAT-1009;2;0,63;22.07.2026;EUR
DE-500018;3;C1008;MAT-1008;1.500;2,15;22.07.2026;EUR
DE-500019;1;C1015;MAT-1004;25;0,05;16.07.2026;EUR
DE-500019;2;C1015;MAT-1005;100;0,96;11.07.2026;EUR
